percentage(no padding),percentage(padding),overflow,compress(ms),decompress(ms),correctness(1/0)
0.8758,0.8758,0.8244,0.199,0.161,1
0.7563,0.7563,0.2274,0.198,0.185,1
0.9077,0.9077,0.7726,0.207,0.195,1
0.8825,0.8825,0.8136,0.188,0.156,1
0.8699,0.8699,0.8341,0.16,0.167,1
0.8924,0.8924,0.7974,0.19,0.188,1
0.8705,0.8705,0.833,0.193,0.184,1
0.7457,0.7457,0.2101,0.148,0.192,1
0.9177,0.9177,0.7565,0.185,0.189,1
0.9243,0.9243,0.5,0.167,0.197,1
0.9011,0.9011,0.7834,0.198,0.188,1
0.8851,0.8851,0.8093,0.19,0.188,1
0.9568,0.9568,0.6929,0.186,0.168,1
0.921,0.921,0.7511,0.189,0.189,1
0.8971,0.8971,0.7899,0.192,0.182,1
0.8778,0.8778,0.8211,0.199,0.183,1
0.743,0.743,0.2058,0.191,0.151,1
0.7351,0.7351,0.1929,0.163,0.198,1
0.8977,0.8977,0.7888,0.191,0.192,1
0.8991,0.8991,0.7866,0.199,0.189,1
0.8838,0.8838,0.8114,0.186,0.183,1
0.7424,0.7424,0.2047,0.185,0.2,1
0.9117,0.9117,0.7662,0.199,0.197,1
0.9097,0.9097,0.7694,0.189,0.159,1
0.8433,0.8433,0.8772,0.184,0.191,1
0.8858,0.8858,0.8082,0.124,0.155,1
0.7503,0.7503,0.2177,0.16,0.192,1
0.909,0.909,0.7705,0.189,0.195,1
0.8865,0.8865,0.8071,0.128,0.157,1
0.9774,0.9774,0.5862,0.198,0.19,1
0.9031,0.9031,0.7802,0.193,0.187,1
0.8845,0.8845,0.8103,0.147,0.206,1
0.915,0.915,0.7608,0.197,0.185,1
0.9628,0.9628,0.5625,0.194,0.196,1
0.9714,0.9714,0.6692,0.146,0.194,1
0.8174,0.8174,0.3265,0.197,0.169,1
0.9296,0.9296,0.7371,0.196,0.188,1
0.9628,0.9628,0.6832,0.152,0.194,1
0.9057,0.9057,0.7759,0.2,0.189,1
0.8964,0.8964,0.7909,0.195,0.183,1
0.8692,0.8692,0.8351,0.181,0.178,1
0.9004,0.9004,0.4612,0.175,0.189,1
0.8858,0.8858,0.8082,0.195,0.19,1
0.751,0.751,0.2188,0.16,0.187,1
0.9124,0.9124,0.7651,0.149,0.191,1
0.8871,0.8871,0.806,0.194,0.186,1
0.9661,0.9661,0.5679,0.182,0.198,1
0.8851,0.8851,0.8093,0.19,0.199,1
0.9117,0.9117,0.7662,0.188,0.193,1
0.9867,0.9867,0.6444,0.196,0.182,1
0.8652,0.8652,0.8416,0.19,0.193,1
0.7404,0.7404,0.2015,0.16,0.189,1
0.9283,0.9283,0.7392,0.192,0.196,1
0.8884,0.8884,0.8039,0.195,0.199,1
0.911,0.911,0.7672,0.195,0.189,1
0.8984,0.8984,0.7877,0.197,0.199,1
0.8533,0.8533,0.861,0.187,0.179,1
0.7278,0.7278,0.181,0.185,0.19,1
0.7291,0.7291,0.1832,0.201,0.192,1
0.9044,0.9044,0.778,0.195,0.182,1
0.8798,0.8798,0.8179,0.19,0.18,1
0.8778,0.8778,0.8211,0.187,0.189,1
0.9031,0.9031,0.7802,0.19,0.195,1
0.8838,0.8838,0.8114,0.183,0.197,1
0.8579,0.8579,0.8534,0.196,0.182,1
0.8187,0.8187,0.3287,0.202,0.19,1
0.9781,0.9781,0.6584,0.2,0.19,1
0.9044,0.9044,0.778,0.199,0.199,1
0.8645,0.8645,0.8427,0.196,0.187,1
0.7178,0.7178,0.1649,0.188,0.188,1
0.9661,0.9661,0.6778,0.183,0.176,1
0.8938,0.8938,0.7953,0.191,0.196,1
0.8845,0.8845,0.8103,0.129,0.164,1
0.8898,0.8898,0.8017,0.193,0.19,1
0.8679,0.8679,0.4084,0.19,0.183,1
0.751,0.751,0.2188,0.153,0.196,1
0.8838,0.8838,0.8114,0.191,0.153,1
0.9011,0.9011,0.7834,0.197,0.156,1
0.8659,0.8659,0.4052,0.195,0.185,1
0.9303,0.9303,0.736,0.184,0.188,1
0.9031,0.9031,0.7802,0.196,0.195,1
0.8453,0.8453,0.8739,0.188,0.192,1
0.6,0.6,0.6293,0.184,0.185,1
0.8592,0.8592,0.3944,0.156,0.194,1
0.9124,0.9124,0.7651,0.18,0.181,1
0.8831,0.8831,0.8125,0.187,0.193,1
0.9402,0.9402,0.7198,0.182,0.181,1
0.9276,0.9276,0.7403,0.183,0.185,1
0.9077,0.9077,0.7726,0.183,0.186,1
0.8878,0.8878,0.805,0.194,0.17,1
0.7424,0.7424,0.2047,0.19,0.172,1
0.9236,0.9236,0.7468,0.189,0.187,1
0.8938,0.8938,0.7953,0.181,0.163,1
0.8672,0.8672,0.8384,0.195,0.184,1
0.7317,0.7317,0.1875,0.146,0.187,1
0.8732,0.8732,0.8287,0.198,0.171,1
0.9861,0.9861,0.6455,0.187,0.182,1
0.925,0.925,0.5011,0.117,0.155,1
0.9117,0.9117,0.7662,0.181,0.183,1
0.9675,0.9675,0.6756,0.18,0.186,1
0.8705,0.8705,0.4127,0.198,0.185,1
0.9084,0.9084,0.7716,0.152,0.155,1
0.923,0.923,0.7478,0.192,0.187,1
0.907,0.907,0.7737,0.186,0.19,1
0.8831,0.8831,0.8125,0.183,0.193,1
0.747,0.747,0.2123,0.183,0.187,1
0.9203,0.9203,0.7522,0.127,0.162,1
0.8679,0.8679,0.8373,0.192,0.178,1
0.7523,0.7523,0.2209,0.188,0.183,1
0.9316,0.9316,0.7338,0.185,0.19,1
0.8958,0.8958,0.792,0.186,0.186,1
0.8493,0.8493,0.3782,0.18,0.159,1
0.9004,0.9004,0.7845,0.186,0.184,1
0.8918,0.8918,0.7985,0.187,0.186,1
0.8506,0.8506,0.8653,0.19,0.192,1
0.9608,0.9608,0.6864,0.189,0.163,1
0.8699,0.8699,0.8341,0.207,0.191,1
0.7351,0.7351,0.1929,0.182,0.193,1
0.911,0.911,0.7672,0.119,0.151,1
0.8918,0.8918,0.7985,0.192,0.195,1
0.9495,0.9495,0.5409,0.181,0.188,1
0.9117,0.9117,0.7662,0.191,0.179,1
0.8811,0.8811,0.8157,0.193,0.185,1
0.9841,0.9841,0.6487,0.188,0.183,1
0.8612,0.8612,0.8481,0.187,0.187,1
0.7523,0.7523,0.2209,0.183,0.171,1
0.9031,0.9031,0.7802,0.18,0.183,1
0.8612,0.8612,0.8481,0.183,0.163,1
0.9303,0.9303,0.736,0.189,0.187,1
0.8991,0.8991,0.7866,0.114,0.158,1
0.8579,0.8579,0.8534,0.185,0.192,1
0.7397,0.7397,0.2004,0.188,0.188,1
0.8911,0.8911,0.7996,0.188,0.186,1
0.925,0.925,0.7446,0.117,0.16,1
0.8712,0.8712,0.8319,0.139,0.18,1
0.7457,0.7457,0.2101,0.182,0.162,1
0.8546,0.8546,0.3869,0.184,0.195,1
0.9216,0.9216,0.75,0.19,0.186,1
0.8904,0.8904,0.8006,0.182,0.185,1
0.8752,0.8752,0.8254,0.186,0.192,1
0.9608,0.9608,0.6864,0.183,0.189,1
0.34,0.34,0.6336,0.188,0.187,1
0.9874,0.9874,0.6024,0.181,0.196,1
0.8938,0.8938,0.7953,0.186,0.19,1
0.9628,0.9628,0.6832,0.182,0.186,1
0.9017,0.9017,0.7823,0.188,0.2,1
0.9024,0.9024,0.7812,0.135,0.186,1
0.917,0.917,0.7575,0.201,0.186,1
0.7935,0.7935,0.2877,0.188,0.189,1
0.7397,0.7397,0.2004,0.191,0.182,1
0.9203,0.9203,0.7522,0.188,0.186,1
0.9024,0.9024,0.7812,0.189,0.205,1
0.8639,0.8639,0.8438,0.182,0.187,1
0.8772,0.8772,0.4235,0.16,0.16,1
0.9104,0.9104,0.7683,0.118,0.197,1
0.8772,0.8772,0.8222,0.187,0.15,1
0.9382,0.9382,0.5226,0.157,0.161,1
0.905,0.905,0.7769,0.186,0.18,1
0.844,0.844,0.8761,0.19,0.189,1
0.8566,0.8566,0.3901,0.186,0.169,1
0.87,0.87,0.625,0.19,0.189,1
0.9037,0.9037,0.7791,0.187,0.193,1
0.8904,0.8904,0.8006,0.187,0.198,1
0.8659,0.8659,0.8405,0.192,0.164,1
0.8639,0.8639,0.4019,0.188,0.191,1
0.9309,0.9309,0.7349,0.194,0.151,1
0.8845,0.8845,0.8103,0.183,0.182,1
0.8486,0.8486,0.8685,0.188,0.183,1
0.7198,0.7198,0.1681,0.184,0.184,1
0.84,0.84,0.3631,0.192,0.189,1
0.9309,0.9309,0.7349,0.185,0.19,1
0.8878,0.8878,0.805,0.188,0.189,1
0.8679,0.8679,0.8373,0.183,0.187,1
0.7271,0.7271,0.18,0.154,0.192,1
0.9197,0.9197,0.7532,0.189,0.19,1
0.8838,0.8838,0.8114,0.189,0.195,1
0.8546,0.8546,0.8588,0.187,0.187,1
0.7457,0.7457,0.2101,0.188,0.151,1
0.8964,0.8964,0.7909,0.119,0.209,1
0.8851,0.8851,0.8093,0.186,0.187,1
0.8619,0.8619,0.847,0.187,0.188,1
0.7284,0.7284,0.1821,0.187,0.201,1
0.9336,0.9336,0.7306,0.209,0.188,1
0.8898,0.8898,0.8017,0.183,0.19,1
0.8659,0.8659,0.8405,0.19,0.183,1
0.7928,0.7928,0.2866,0.151,0.183,1
0.925,0.925,0.7446,0.182,0.188,1
0.8911,0.8911,0.7996,0.187,0.187,1
0.8592,0.8592,0.8513,0.183,0.183,1
0.93,0.93,0.6239,0.182,0.191,1
0.7258,0.7258,0.1778,0.157,0.156,1
0.905,0.905,0.7769,0.183,0.189,1
0.8858,0.8858,0.8082,0.188,0.183,1
0.8732,0.8732,0.8287,0.187,0.19,1
0.9024,0.9024,0.4644,0.189,0.182,1
0.9024,0.9024,0.7812,0.2,0.194,1
0.9157,0.9157,0.7597,0.189,0.185,1
0.9688,0.9688,0.6735,0.184,0.186,1
0.9894,0.9894,0.6401,0.183,0.183,1
0.9163,0.9163,0.7586,0.186,0.188,1
0.8772,0.8772,0.8222,0.189,0.183,1
0.9084,0.9084,0.4741,0.193,0.183,1
0.8293,0.8293,0.3459,0.169,0.187,1
0.9011,0.9011,0.7834,0.186,0.183,1
0.9104,0.9104,0.7683,0.182,0.187,1
0.8778,0.8778,0.8211,0.19,0.187,1
0.9655,0.9655,0.6789,0.193,0.185,1
0.8878,0.8878,0.805,0.184,0.188,1
0.8679,0.8679,0.4084,0.184,0.188,1
0.9867,0.9867,0.6444,0.15,0.157,1
0.8712,0.8712,0.8319,0.188,0.166,1
0.9641,0.9641,0.681,0.189,0.183,1
0.834,0.834,0.3534,0.187,0.193,1
0.9223,0.9223,0.7489,0.195,0.186,1
0.8984,0.8984,0.7877,0.191,0.189,1
0.7198,0.7198,0.1681,0.186,0.186,1
0.8984,0.8984,0.7877,0.194,0.195,1
0.8918,0.8918,0.7985,0.199,0.164,1
0.9256,0.9256,0.7435,0.186,0.188,1
0.8705,0.8705,0.833,0.189,0.188,1
0.7377,0.7377,0.1972,0.186,0.151,1
0.9177,0.9177,0.7565,0.186,0.189,1
0.907,0.907,0.7737,0.189,0.187,1
0.8373,0.8373,0.8869,0.185,0.189,1
0.7523,0.7523,0.2209,0.191,0.188,1
0.9216,0.9216,0.75,0.182,0.191,1
0.8958,0.8958,0.792,0.186,0.189,1
0.8333,0.8333,0.3524,0.187,0.182,1
0.9309,0.9309,0.7349,0.187,0.188,1
0.8997,0.8997,0.7856,0.184,0.168,1
0.9515,0.9515,0.7015,0.187,0.185,1
0.8466,0.8466,0.3739,0.191,0.183,1
0.925,0.925,0.7446,0.188,0.2,1
0.8871,0.8871,0.806,0.189,0.184,1
0.9389,0.9389,0.722,0.185,0.187,1
0.911,0.911,0.7672,0.181,0.182,1
0.8665,0.8665,0.8394,0.187,0.188,1
0.9801,0.9801,0.6552,0.191,0.147,1
0.8792,0.8792,0.4267,0.183,0.19,1
0.8592,0.8592,0.3944,0.188,0.186,1
0.8884,0.8884,0.8039,0.189,0.187,1
0.8884,0.8884,0.8039,0.186,0.186,1
0.8672,0.8672,0.8384,0.14,0.188,1
0.9024,0.9024,0.4644,0.12,0.207,1
0.8991,0.8991,0.7866,0.196,0.187,1
0.9017,0.9017,0.7823,0.201,0.183,1
0.9037,0.9037,0.7791,0.188,0.189,1
0.907,0.907,0.472,0.182,0.176,1
0.9323,0.9323,0.7328,0.19,0.187,1
0.7424,0.7424,0.2047,0.187,0.183,1
0.9077,0.9077,0.7726,0.185,0.188,1
0.8884,0.8884,0.8039,0.181,0.146,1
0.8513,0.8513,0.3815,0.194,0.184,1
0.9084,0.9084,0.7716,0.184,0.182,1
0.9044,0.9044,0.778,0.19,0.15,1
0.9442,0.9442,0.7134,0.14,0.173,1
0.8599,0.8599,0.3955,0.186,0.191,1
0.9236,0.9236,0.7468,0.189,0.198,1
0.8825,0.8825,0.8136,0.137,0.158,1
0.9562,0.9562,0.694,0.185,0.195,1
0.9429,0.9429,0.5302,0.187,0.168,1
0.9794,0.9794,0.5894,0.113,0.161,1
0.9236,0.9236,0.7468,0.186,0.188,1
0.8977,0.8977,0.7888,0.199,0.184,1
0.8453,0.8453,0.3718,0.199,0.194,1
0.919,0.919,0.7543,0.181,0.187,1
0.8997,0.8997,0.7856,0.198,0.187,1
0.8679,0.8679,0.8373,0.186,0.197,1
0.9661,0.9661,0.6778,0.188,0.188,1
0.9031,0.9031,0.7802,0.139,0.154,1
0.8798,0.8798,0.8179,0.181,0.144,1
0.14,0.14,0.6088,0.191,0.153,1
0.9515,0.9515,0.5442,0.185,0.184,1
0.8984,0.8984,0.7877,0.203,0.185,1
0.8765,0.8765,0.8233,0.203,0.187,1
0.7483,0.7483,0.2144,0.199,0.187,1
0.8977,0.8977,0.7888,0.185,0.194,1
0.8559,0.8559,0.389,0.155,0.195,1
0.8964,0.8964,0.7909,0.198,0.188,1
0.9104,0.9104,0.7683,0.187,0.187,1
0.911,0.911,0.4784,0.183,0.194,1
0.8997,0.8997,0.7856,0.132,0.155,1
0.8732,0.8732,0.8287,0.183,0.193,1
0.8526,0.8526,0.8621,0.19,0.189,1
0.8493,0.8493,0.3782,0.192,0.189,1
0.9834,0.9834,0.6498,0.193,0.192,1
0.9137,0.9137,0.7629,0.212,0.157,1
0.8818,0.8818,0.8147,0.142,0.185,1
0.9223,0.9223,0.4968,0.187,0.197,1
0.8765,0.8765,0.8233,0.188,0.192,1
0.9847,0.9847,0.5981,0.196,0.192,1
0.9323,0.9323,0.5129,0.198,0.188,1
0.9057,0.9057,0.7759,0.184,0.157,1
0.8938,0.8938,0.7953,0.19,0.188,1
0.8679,0.8679,0.8373,0.186,0.177,1
0.9183,0.9183,0.4903,0.213,0.157,1
0.9841,0.9841,0.597,0.19,0.187,1
0.8818,0.8818,0.8147,0.189,0.216,1
0.8586,0.8586,0.3933,0.195,0.187,1
0.907,0.907,0.7737,0.196,0.157,1
0.9037,0.9037,0.7791,0.186,0.188,1
0.2,0.2,0.6099,0.194,0.192,1
0.753,0.753,0.222,0.199,0.18,1
0.9183,0.9183,0.7554,0.125,0.153,1
0.8991,0.8991,0.7866,0.189,0.192,1
0.9529,0.9529,0.6994,0.185,0.197,1
0.14,0.14,0.6088,0.186,0.185,1
0.9057,0.9057,0.7759,0.187,0.189,1
0.8785,0.8785,0.82,0.187,0.151,1
0.759,0.759,0.2317,0.191,0.188,1
0.9329,0.9329,0.7317,0.188,0.184,1
0.9011,0.9011,0.7834,0.189,0.183,1
0.8559,0.8559,0.8567,0.183,0.189,1
0.9429,0.9429,0.5302,0.18,0.208,1
0.9615,0.9615,0.5603,0.186,0.189,1
0.921,0.921,0.7511,0.189,0.187,1
0.8818,0.8818,0.8147,0.186,0.163,1
0.9509,0.9509,0.7026,0.162,0.198,1
0.8778,0.8778,0.8211,0.183,0.196,1
0.8632,0.8632,0.4009,0.179,0.144,1
0.9203,0.9203,0.7522,0.19,0.19,1
0.9542,0.9542,0.6972,0.155,0.186,1
0.9436,0.9436,0.5312,0.189,0.182,1
0.9608,0.9608,0.5593,0.187,0.202,1
0.8991,0.8991,0.7866,0.192,0.189,1
0.8519,0.8519,0.8631,0.15,0.194,1
0.8725,0.8725,0.4159,0.191,0.19,1
0.9017,0.9017,0.7823,0.188,0.195,1
0.8825,0.8825,0.8136,0.18,0.186,1
0.8911,0.8911,0.7996,0.187,0.188,1
0.8851,0.8851,0.8093,0.186,0.192,1
0.8519,0.8519,0.3825,0.185,0.161,1
0.8752,0.8752,0.8254,0.188,0.183,1
0.9887,0.9887,0.6412,0.188,0.196,1
0.8639,0.8639,0.4019,0.185,0.187,1
0.9104,0.9104,0.7683,0.122,0.154,1
0.9183,0.9183,0.7554,0.14,0.208,1
0.9568,0.9568,0.6929,0.183,0.199,1
0.8718,0.8718,0.8308,0.181,0.188,1
0.7244,0.7244,0.1756,0.182,0.182,1
0.9323,0.9323,0.7328,0.188,0.186,1
0.8858,0.8858,0.8082,0.183,0.187,1
0.8825,0.8825,0.8136,0.188,0.145,1
0.8871,0.8871,0.806,0.187,0.192,1
0.8632,0.8632,0.8448,0.188,0.182,1
0.7311,0.7311,0.1864,0.145,0.189,1
0.9117,0.9117,0.7662,0.184,0.187,1
0.9037,0.9037,0.7791,0.182,0.192,1
0.8572,0.8572,0.8545,0.191,0.196,1
0.7397,0.7397,0.2004,0.181,0.197,1
0.8918,0.8918,0.7985,0.192,0.164,1
0.8645,0.8645,0.8427,0.189,0.201,1
0.8453,0.8453,0.3718,0.152,0.182,1
0.9814,0.9814,0.653,0.188,0.185,1
0.9827,0.9827,0.6509,0.188,0.18,1
0.826,0.826,0.3405,0.189,0.148,1
0.8858,0.8858,0.8082,0.185,0.187,1
0.8798,0.8798,0.8179,0.184,0.184,1
0.9575,0.9575,0.6918,0.186,0.182,1
0.8619,0.8619,0.3987,0.17,0.191,1
0.913,0.913,0.764,0.195,0.182,1
0.8871,0.8871,0.806,0.185,0.188,1
0.8811,0.8811,0.8157,0.185,0.152,1
0.8539,0.8539,0.3858,0.185,0.185,1
0.9203,0.9203,0.7522,0.185,0.192,1
0.9084,0.9084,0.7716,0.186,0.189,1
0.9495,0.9495,0.7047,0.137,0.188,1
0.7065,0.7065,0.1466,0.184,0.193,1
0.8964,0.8964,0.7909,0.192,0.188,1
0.8991,0.8991,0.7866,0.189,0.196,1
0.8991,0.8991,0.7866,0.181,0.197,1
0.9004,0.9004,0.7845,0.204,0.188,1
0.9124,0.9124,0.7651,0.183,0.198,1
0.8798,0.8798,0.8179,0.183,0.184,1
0.745,0.745,0.2091,0.183,0.148,1
0.9124,0.9124,0.7651,0.134,0.157,1
0.8924,0.8924,0.7974,0.185,0.193,1
0.8645,0.8645,0.8427,0.186,0.195,1
0.7371,0.7371,0.1961,0.153,0.199,1
0.8792,0.8792,0.4267,0.196,0.185,1
0.9183,0.9183,0.7554,0.187,0.186,1
0.8904,0.8904,0.8006,0.183,0.185,1
0.9515,0.9515,0.7015,0.198,0.184,1
0.9814,0.9814,0.653,0.188,0.191,1
0.907,0.907,0.7737,0.19,0.189,1
0.9004,0.9004,0.7845,0.19,0.187,1
0.9821,0.9821,0.5938,0.188,0.193,1
0.9489,0.9489,0.7058,0.184,0.192,1
0.8938,0.8938,0.7953,0.194,0.185,1
0.7742,0.7742,0.2565,0.19,0.19,1
0.8924,0.8924,0.7974,0.185,0.168,1
0.8705,0.8705,0.833,0.191,0.186,1
0.9177,0.9177,0.7565,0.184,0.181,1
0.8944,0.8944,0.7942,0.188,0.186,1
0.9064,0.9064,0.7748,0.186,0.185,1
0.8214,0.8214,0.333,0.15,0.205,1
0.911,0.911,0.7672,0.199,0.215,1
0.8904,0.8904,0.8006,0.177,0.183,1
0.9741,0.9741,0.5808,0.187,0.15,1
0.7789,0.7789,0.264,0.184,0.185,1
0.9124,0.9124,0.7651,0.193,0.183,1
0.905,0.905,0.7769,0.13,0.16,1
0.8506,0.8506,0.8653,0.192,0.192,1
0.8785,0.8785,0.4256,0.151,0.193,1
0.8579,0.8579,0.3922,0.199,0.193,1
0.9163,0.9163,0.7586,0.184,0.157,1
0.8951,0.8951,0.7931,0.118,0.193,1
0.9688,0.9688,0.6735,0.198,0.157,1
0.9017,0.9017,0.4634,0.196,0.194,1
0.8991,0.8991,0.7866,0.189,0.191,1
0.9356,0.9356,0.7274,0.196,0.184,1
0.9781,0.9781,0.6584,0.202,0.201,1
0.8798,0.8798,0.4278,0.194,0.191,1
0.9223,0.9223,0.7489,0.131,0.163,1
0.8692,0.8692,0.8351,0.198,0.161,1
0.9124,0.9124,0.7651,0.19,0.181,1
0.9057,0.9057,0.7759,0.195,0.196,1
0.7517,0.7517,0.2198,0.198,0.158,1
0.913,0.913,0.764,0.19,0.193,1
0.9097,0.9097,0.7694,0.198,0.19,1
0.8991,0.8991,0.7866,0.176,0.19,1
0.8977,0.8977,0.7888,0.194,0.184,1
0.8838,0.8838,0.8114,0.202,0.197,1
0.7483,0.7483,0.2144,0.196,0.171,1
0.8858,0.8858,0.8082,0.203,0.163,1
0.8606,0.8606,0.3966,0.193,0.189,1
0.907,0.907,0.7737,0.189,0.187,1
0.9044,0.9044,0.778,0.187,0.186,1
0.9708,0.9708,0.6703,0.191,0.164,1
0.8632,0.8632,0.8448,0.187,0.195,1
0.7404,0.7404,0.2015,0.168,0.189,1
0.913,0.913,0.764,0.186,0.194,1
0.8619,0.8619,0.847,0.183,0.187,1
0.8214,0.8214,0.333,0.188,0.181,1
0.2,0.2,0.6358,0.188,0.183,1
0.8938,0.8938,0.7953,0.184,0.188,1
0.9124,0.9124,0.7651,0.183,0.183,1
0.8984,0.8984,0.7877,0.189,0.182,1
0.8652,0.8652,0.8416,0.191,0.181,1
0.7244,0.7244,0.1756,0.177,0.188,1
0.9017,0.9017,0.7823,0.185,0.186,1
0.8692,0.8692,0.8351,0.143,0.207,1
0.7503,0.7503,0.2177,0.181,0.191,1
0.9183,0.9183,0.7554,0.194,0.188,1
0.8792,0.8792,0.819,0.193,0.182,1
0.9681,0.9681,0.6746,0.172,0.19,1
0.9303,0.9303,0.736,0.184,0.185,1
0.8924,0.8924,0.7974,0.182,0.163,1
0.9515,0.9515,0.5442,0.184,0.183,1
0.9309,0.9309,0.7349,0.172,0.183,1
0.9044,0.9044,0.778,0.167,0.187,1
0.7895,0.7895,0.2812,0.192,0.184,1
0.9203,0.9203,0.7522,0.188,0.185,1
0.9648,0.9648,0.68,0.187,0.181,1
0.842,0.842,0.3664,0.188,0.188,1
0.8904,0.8904,0.8006,0.18,0.186,1
0.8984,0.8984,0.7877,0.139,0.189,1
0.8732,0.8732,0.8287,0.188,0.181,1
0.909,0.909,0.7705,0.185,0.169,1
0.7749,0.7749,0.2575,0.161,0.187,1
0.9117,0.9117,0.7662,0.188,0.193,1
0.8679,0.8679,0.8373,0.193,0.164,1
0.7384,0.7384,0.1983,0.185,0.19,1
0.909,0.909,0.7705,0.189,0.17,1
0.9077,0.9077,0.7726,0.187,0.187,1
0.917,0.917,0.7575,0.189,0.189,1
0.8499,0.8499,0.8664,0.19,0.189,1
0.7709,0.7709,0.2511,0.182,0.211,1
0.8938,0.8938,0.7953,0.183,0.192,1
0.9163,0.9163,0.7586,0.121,0.164,1
0.8938,0.8938,0.7953,0.185,0.189,1
0.8911,0.8911,0.7996,0.185,0.184,1
0.7809,0.7809,0.2672,0.17,0.182,1
0.8898,0.8898,0.8017,0.183,0.173,1
0.9177,0.9177,0.7565,0.183,0.187,1
0.8891,0.8891,0.8028,0.193,0.168,1
0.8765,0.8765,0.8233,0.186,0.19,1
0.7616,0.7616,0.236,0.183,0.187,1
0.9203,0.9203,0.7522,0.194,0.188,1
0.9223,0.9223,0.7489,0.191,0.186,1
0.8625,0.8625,0.8459,0.186,0.2,1
0.747,0.747,0.2123,0.188,0.183,1
0.9695,0.9695,0.5733,0.19,0.189,1
0.9276,0.9276,0.7403,0.183,0.201,1
0.909,0.909,0.7705,0.187,0.186,1
0.6,0.6,0.6293,0.181,0.191,1
0.9382,0.9382,0.7231,0.196,0.152,1
0.7649,0.7649,0.2414,0.189,0.184,1
0.9143,0.9143,0.7619,0.122,0.162,1
0.8938,0.8938,0.7953,0.2,0.188,1
0.2,0.2,0.6358,0.192,0.188,1
0.9303,0.9303,0.736,0.191,0.189,1
0.915,0.915,0.7608,0.195,0.185,1
0.8639,0.8639,0.8438,0.19,0.192,1
0.7802,0.7802,0.2662,0.184,0.19,1
0.8473,0.8473,0.375,0.188,0.183,1
0.9104,0.9104,0.7683,0.188,0.193,1
0.8891,0.8891,0.8028,0.185,0.206,1
0.8745,0.8745,0.8265,0.189,0.189,1
0.9011,0.9011,0.7834,0.201,0.186,1
0.8858,0.8858,0.8082,0.19,0.15,1
0.8732,0.8732,0.8287,0.186,0.181,1
0.7643,0.7643,0.2403,0.183,0.152,1
0.8898,0.8898,0.444,0.17,0.197,1
0.9236,0.9236,0.7468,0.19,0.183,1
0.8778,0.8778,0.8211,0.188,0.196,1
0.9422,0.9422,0.7166,0.118,0.166,1
0.8705,0.8705,0.4127,0.192,0.2,1
0.917,0.917,0.7575,0.213,0.193,1
0.8871,0.8871,0.806,0.189,0.213,1
0.9562,0.9562,0.694,0.134,0.165,1
0.9024,0.9024,0.7812,0.188,0.182,1
0.8818,0.8818,0.8147,0.148,0.152,1
0.8533,0.8533,0.861,0.184,0.198,1
0.7523,0.7523,0.2209,0.154,0.208,1
0.9256,0.9256,0.7435,0.136,0.158,1
0.8845,0.8845,0.8103,0.196,0.183,1
0.9575,0.9575,0.6918,0.192,0.195,1
0.8606,0.8606,0.3966,0.187,0.191,1
0.8865,0.8865,0.8071,0.144,0.161,1
0.909,0.909,0.7705,0.166,0.193,1
0.7616,0.7616,0.236,0.169,0.185,1
0.9163,0.9163,0.7586,0.185,0.19,1
0.8924,0.8924,0.7974,0.182,0.191,1
0.915,0.915,0.7608,0.192,0.153,1
0.822,0.822,0.3341,0.188,0.203,1
0.9124,0.9124,0.7651,0.19,0.188,1
0.8725,0.8725,0.8297,0.19,0.193,1
0.8792,0.8792,0.819,0.184,0.182,1
0.7583,0.7583,0.2306,0.16,0.199,1
0.9143,0.9143,0.7619,0.19,0.192,1
0.915,0.915,0.7608,0.19,0.151,1
0.8632,0.8632,0.8448,0.188,0.203,1
0.7556,0.7556,0.2263,0.158,0.179,1
0.9124,0.9124,0.7651,0.192,0.188,1
0.8625,0.8625,0.8459,0.122,0.189,1
0.7623,0.7623,0.2371,0.192,0.214,1
0.9004,0.9004,0.7845,0.131,0.157,1
0.8878,0.8878,0.805,0.184,0.19,1
0.8692,0.8692,0.8351,0.186,0.19,1
0.9309,0.9309,0.7349,0.18,0.19,1
0.8831,0.8831,0.8125,0.183,0.187,1
0.8745,0.8745,0.8265,0.189,0.152,1
0.7364,0.7364,0.195,0.158,0.151,1
0.7736,0.7736,0.2554,0.191,0.182,1
0.8911,0.8911,0.7996,0.117,0.187,1
0.9031,0.9031,0.7802,0.186,0.184,1
0.8785,0.8785,0.82,0.186,0.182,1
0.8718,0.8718,0.8308,0.189,0.191,1
0.7576,0.7576,0.2295,0.188,0.186,1
0.913,0.913,0.764,0.19,0.183,1
0.8997,0.8997,0.7856,0.187,0.186,1
0.8858,0.8858,0.8082,0.184,0.186,1
0.8772,0.8772,0.8222,0.119,0.193,1
0.7709,0.7709,0.2511,0.19,0.195,1
0.9157,0.9157,0.7597,0.187,0.156,1
0.9236,0.9236,0.7468,0.121,0.153,1
0.8971,0.8971,0.7899,0.119,0.151,1
0.8898,0.8898,0.8017,0.192,0.191,1
0.9602,0.9602,0.6875,0.187,0.198,1
0.585,0.05065,00.191,0.186,1
0.8997,0.8997,0.7856,0.181,0.182,1
0.8858,0.8858,0.8082,0.192,0.191,1
0.8645,0.8645,0.8427,0.189,0.185,1
0.9641,0.9641,0.681,0.19,0.189,1
0.7377,0.7377,0.1972,0.19,0.182,1
